PAGINA_PDF;HTSUS;HTSUS_DIGITOS;CO_SH6;DESCRICAO_EN;LIMITACAO_ESCOPO;FONTE
42;0201.10.05;02011005;020110;Bovine carcasses and halves, fresh or chilled, described in general note 15 of the HTSUS;;Brazil 301 Final Action FRN 7-15-2026 final.pdf
42;0201.10.10;02011010;020110;Bovine carcasses and halves, fresh or chilled, described in additional U.S. note 3 to chapter 2 of the HTSUS;;Brazil 301 Final Action FRN 7-15-2026 final.pdf
42;0201.10.50;02011050;020110;Bovine carcasses and halves, fresh or chilled, other than described in general note 15 or additional U.S. note 3 to chapter 2 of the HTSUS;;Brazil 301 Final Action FRN 7-15-2026 final.pdf
42;0201.20.02;02012002;020120;High-quality beef cuts, with bone in, processed, fresh or chilled, described in general note 15 of the HTSUS;;Brazil 301 Final Action FRN 7-15-2026 final.pdf
42;0201.20.04;02012004;020120;Bovine meat cuts (except high-quality beef cuts), with bone in, processed, fresh or chilled, described in general note 15 of the HTSUS;;Brazil 301 Final Action FRN 7-15-2026 final.pdf
43;0201.20.06;02012006;020120;Bovine meat cuts, with bone in, not processed, fresh or chilled, described in general note 15 of the HTSUS;;Brazil 301 Final Action FRN 7-15-2026 final.pdf
43;0201.20.10;02012010;020120;High-quality beef cuts, with bone in, processed, fresh or chilled, described in additional U.S. note 3 to chapter 2 of the HTSUS;;Brazil 301 Final Action FRN 7-15-2026 final.pdf
43;0201.20.30;02012030;020120;Bovine meat cuts (except high-quality beef cuts), with bone in, processed, fresh or chilled, described in additional U.S. note 3 to chapter 2 of the HTSUS;;Brazil 301 Final Action FRN 7-15-2026 final.pdf
43;0201.20.50;02012050;020120;Bovine meat cuts, with bone in, not processed, fresh or chilled, described in additional U.S. note 3 to chapter 2 of the HTSUS;;Brazil 301 Final Action FRN 7-15-2026 final.pdf
43;0201.20.80;02012080;020120;Bovine meat cuts, with bone in, fresh or chilled, not described in general note 15 or additional U.S. note 3 to chapter 2 of the HTSUS;;Brazil 301 Final Action FRN 7-15-2026 final.pdf
