CO_SH6;QTD_LINHAS_HTSUS;QTD_HTSUS_8;QTD_HTSUS_10;QTD_SEM_LIMITACAO;QTD_CONDICIONADAS;LIMITACOES_ESCOPO;CODIGOS_HTSUS;DESCRICAO_HTSUS_EXEMPLO;PAGINA_INICIAL;PAGINA_FINAL;TIPO_ESCOPO_SH6;FONTE;ANEXO;DATA_VIGENCIA_GERAL
020110;3;3;0;3;0;;0201.10.05 | 0201.10.10 | 0201.10.50;Bovine carcasses and halves, fresh or chilled, described in general note 15 of the HTSUS;42;42;Sem limitação explícita;Brazil 301 Final Action FRN 7-15-2026 final.pdf;Anexo II;2026-07-22
020120;7;7;0;7;0;;0201.20.02 | 0201.20.04 | 0201.20.06 | 0201.20.10 | 0201.20.30 | 0201.20.50 | 0201.20.80;High-quality beef cuts, with bone in, processed, fresh or chilled, described in general note 15 of the HTSUS;42;43;Sem limitação explícita;Brazil 301 Final Action FRN 7-15-2026 final.pdf;Anexo II;2026-07-22
020130;7;7;0;7;0;;0201.30.02 | 0201.30.04 | 0201.30.06 | 0201.30.10 | 0201.30.30 | 0201.30.50 | 0201.30.80;High-quality beef cuts, boneless, processed, fresh or chilled, described in general note 15 of the HTSUS;43;43;Sem limitação explícita;Brazil 301 Final Action FRN 7-15-2026 final.pdf;Anexo II;2026-07-22
020210;3;3;0;3;0;;0202.10.05 | 0202.10.10 | 0202.10.50;Bovine carcasses and halves, frozen, described in general note 15 of the HTSUS;43;43;Sem limitação explícita;Brazil 301 Final Action FRN 7-15-2026 final.pdf;Anexo II;2026-07-22
020220;7;7;0;7;0;;0202.20.02 | 0202.20.04 | 0202.20.06 | 0202.20.10 | 0202.20.30 | 0202.20.50 | 0202.20.80;High-quality beef cuts, with bone in, processed, frozen, described in general note 15 of the HTSUS;43;44;Sem limitação explícita;Brazil 301 Final Action FRN 7-15-2026 final.pdf;Anexo II;2026-07-22
020230;7;7;0;7;0;;0202.30.02 | 0202.30.04 | 0202.30.06 | 0202.30.10 | 0202.30.30 | 0202.30.50 | 0202.30.80;High-quality beef cuts, boneless, processed, frozen, described in general note 15 of the HTSUS;44;44;Sem limitação explícita;Brazil 301 Final Action FRN 7-15-2026 final.pdf;Anexo II;2026-07-22
020610;1;1;0;1;0;;0206.10.00;Edible offal of bovine animals, fresh or chilled;44;44;Sem limitação explícita;Brazil 301 Final Action FRN 7-15-2026 final.pdf;Anexo II;2026-07-22
020621;1;1;0;1;0;;0206.21.00;Tongues of bovine animals, frozen;44;44;Sem limitação explícita;Brazil 301 Final Action FRN 7-15-2026 final.pdf;Anexo II;2026-07-22
020622;1;1;0;1;0;;0206.22.00;Livers of bovine animals, frozen;44;44;Sem limitação explícita;Brazil 301 Final Action FRN 7-15-2026 final.pdf;Anexo II;2026-07-22
020629;1;1;0;1;0;;0206.29.00;Edible offal of bovine animals, except tongues or livers, frozen;44;44;Sem limitação explícita;Brazil 301 Final Action FRN 7-15-2026 final.pdf;Anexo II;2026-07-22
021020;1;1;0;1;0;;0210.20.00;Meat of bovine animals, salted, in brine, dried or smoked;44;44;Sem limitação explícita;Brazil 301 Final Action FRN 7-15-2026 final.pdf;Anexo II;2026-07-22
030232;1;1;0;1;0;;0302.32.00;Yellowfin tunas, fresh or chilled, excluding fillets, other meat portions, livers and roes;44;44;Sem limitação explícita;Brazil 301 Final Action FRN 7-15-2026 final.pdf;Anexo II;2026-07-22
030234;1;1;0;1;0;;0302.34.00;Bigeye tunas (Thunnas obesus), fresh or chilled, excluding fillets, other meat portions, livers and roes;45;45;Sem limitação explícita;Brazil 301 Final Action FRN 7-15-2026 final.pdf;Anexo II;2026-07-22
030244;1;1;0;1;0;;0302.44.00;Mackerel, excl. fillets, livers & roes, fresh or chilled;45;45;Sem limitação explícita;Brazil 301 Final Action FRN 7-15-2026 final.pdf;Anexo II;2026-07-22
030247;1;1;0;1;0;;0302.47.00;Swordfish, fresh or chilled, excluding livers and roes;45;45;Sem limitação explícita;Brazil 301 Final Action FRN 7-15-2026 final.pdf;Anexo II;2026-07-22
030271;2;2;0;2;0;;0302.71.11 | 0302.71.50;Tilapias, excl. fillets, livers and roes, fresh or chilled, scaled, in immediate containers weighing with their contents <6.8 kg;45;45;Sem limitação explícita;Brazil 301 Final Action FRN 7-15-2026 final.pdf;Anexo II;2026-07-22
030289;1;1;0;1;0;;0302.89.50;Fish, nesoi, excl. fillets, livers & roes, fresh or chilled, not scaled, or scaled in immediate containers over 6.8 kg;45;45;Sem limitação explícita;Brazil 301 Final Action FRN 7-15-2026 final.pdf;Anexo II;2026-07-22
030323;1;1;0;1;0;;0303.23.00;Tilapias, frozen, excluding fillets, other meat portions, livers and roes;45;45;Sem limitação explícita;Brazil 301 Final Action FRN 7-15-2026 final.pdf;Anexo II;2026-07-22
030389;1;1;0;1;0;;0303.89.00;Smelts, cusk, pollock, shad, sturgeon, atkafish, fresh-water fish,etc. frozen, excluding fillets, other meat portions, livers and roes;45;45;Sem limitação explícita;Brazil 301 Final Action FRN 7-15-2026 final.pdf;Anexo II;2026-07-22
030431;1;1;0;1;0;;0304.31.00;Tilapias, fillets, fresh or chilled;45;45;Sem limitação explícita;Brazil 301 Final Action FRN 7-15-2026 final.pdf;Anexo II;2026-07-22
030611;1;1;0;1;0;;0306.11.00;Rock lobster and other sea crawfish, cooked in shell or uncooked, dried, salted or in brine, frozen;45;45;Sem limitação explícita;Brazil 301 Final Action FRN 7-15-2026 final.pdf;Anexo II;2026-07-22
040900;1;0;1;1;0;;0409.00.0005;Certified organic natural honey;45;45;Sem limitação explícita;Brazil 301 Final Action FRN 7-15-2026 final.pdf;Anexo II;2026-07-22
050800;1;1;0;1;0;;0508.00.00;"Coral, shells, cuttlebone and similar materials, unworked or simply prepared but not cut to shape; powder and waste thereof";45;45;Sem limitação explícita;Brazil 301 Final Action FRN 7-15-2026 final.pdf;Anexo II;2026-07-22
