DATA;PAIS;IMPORTACOES_CONSUMO_USD;DIREITOS_ADUANEIROS_USD;BASE_TRIBUTAVEL_USD;TARIFA_EFETIVA_PCT;TARIFA_BASE_TRIBUTAVEL_PCT
2019-01-01;BRAZIL;2731369214;26516824;693061506;0.9708253232;3.8260419559
2019-02-01;BRAZIL;2234344101;20394066;498432055;0.9127540378;4.0916441460
2019-03-01;BRAZIL;2384054093;20963605;746182687;0.8793258954;2.8094467166
2019-04-01;BRAZIL;2792754642;28636977;695597835;1.0254025387;4.1168870228
2019-05-01;BRAZIL;2800621901;24230494;957716042;0.8651826222;2.5300290417
2019-06-01;BRAZIL;2347306451;24671490;931039843;1.0510553485;2.6498855216
2019-07-01;BRAZIL;3069261817;24667781;828371798;0.8037040328;2.9778634497
2019-08-01;BRAZIL;2333577231;24083323;854985310;1.0320345382;2.8168113204
2019-09-01;BRAZIL;2488775946;27824428;898799992;1.1179965012;3.0957307797
2019-10-01;BRAZIL;2564166563;23691287;819783446;0.9239371319;2.8899445476
2019-11-01;BRAZIL;2229084756;23806926;728494643;1.0680134946;3.2679617110
2019-12-01;BRAZIL;2487553984;24330992;776087730;0.9781091046;3.1350826794
2020-01-01;BRAZIL;2479508509;20462108;648970988;0.8252485493;3.1530081280
2020-02-01;BRAZIL;1546735632;17882582;586820235;1.1561498701;3.0473696941
2020-03-01;BRAZIL;1991442332;20317224;635104399;1.0202265802;3.1990368878
2020-04-01;BRAZIL;2049802122;16975594;526348753;0.8281576947;3.2251608659
2020-05-01;BRAZIL;1735571420;15449357;523857840;0.8901596801;2.9491506703
2020-06-01;BRAZIL;1804341360;16986104;584385857;0.9414019086;2.9066589817
2020-07-01;BRAZIL;2211401018;18968565;541933259;0.8577623346;3.5001662446
2020-08-01;BRAZIL;1681530991;19926300;588511013;1.1850093817;3.3858839614
2020-09-01;BRAZIL;1789097929;23242593;574821176;1.2991235764;4.0434475921
2020-10-01;BRAZIL;2295622607;29047313;728253668;1.2653348556;3.9886257051
2020-11-01;BRAZIL;1917166362;24912672;659550337;1.2994528015;3.7772207218
2020-12-01;BRAZIL;2380063695;27386203;716806779;1.1506500039;3.8205837057
2021-01-01;BRAZIL;2060976443;22943953;590931161;1.1132564410;3.8826777998
2021-02-01;BRAZIL;1753446521;20763397;473122926;1.1841477200;4.3885839935
2021-03-01;BRAZIL;2031289888;22610789;670231345;1.1131246768;3.3735797600
2021-04-01;BRAZIL;2478571509;22677488;678923268;0.9149418493;3.3402136985
2021-05-01;BRAZIL;2392853703;24940936;741620696;1.0423092715;3.3630312820
2021-06-01;BRAZIL;2638022360;31945079;862922873;1.2109479997;3.7019622494
2021-07-01;BRAZIL;3079695781;34980984;1072325579;1.1358584252;3.2621607360
2021-08-01;BRAZIL;2984160799;29403846;974264046;0.9853304825;3.0180571808
2021-09-01;BRAZIL;3361324336;31188349;1333894511;0.9278589592;2.3381420902
2021-10-01;BRAZIL;2999737679;30876313;1131288208;1.0293004357;2.7293056519
2021-11-01;BRAZIL;2901855532;25492971;1036838341;0.8785058635;2.4587218655
2021-12-01;BRAZIL;3010725675;32022745;938047030;1.0636221449;3.4137675379
2022-01-01;BRAZIL;2805519821;26502172;814014810;0.9446439053;3.2557358508
2022-02-01;BRAZIL;2294971420;25007868;873837560;1.0896810210;2.8618440251
2022-03-01;BRAZIL;3160151627;30856530;1081959570;0.9764256163;2.8519115553
2022-04-01;BRAZIL;3068854436;38634735;1072005170;1.2589301906;3.6039690928
2022-05-01;BRAZIL;2842189894;38745006;1092156950;1.3632096181;3.5475675909
2022-06-01;BRAZIL;3729396679;36683894;1319778950;0.9836415152;2.7795483479
2022-07-01;BRAZIL;3861897081;37968439;1280445840;0.9831551231;2.9652514627
2022-08-01;BRAZIL;3581081157;39343296;1499522082;1.0986429594;2.6237223494
2022-09-01;BRAZIL;3606201079;34362853;1360462960;0.9528823337;2.5258205486
2022-10-01;BRAZIL;3555650520;47561115;1384251341;1.3376206332;3.4358727777
2022-11-01;BRAZIL;3165616544;30861100;1174948998;0.9748843415;2.6265906054
2022-12-01;BRAZIL;3226566101;37539609;1032593770;1.1634538957;3.6354673145
2023-01-01;BRAZIL;3259565152;30051417;1091090536;0.9219455847;2.7542551244
2023-02-01;BRAZIL;2479196097;29913341;911620214;1.2065742212;3.2813380551
2023-03-01;BRAZIL;3040459863;36451005;1016038404;1.1988648639;3.5875617355
2023-04-01;BRAZIL;2848578300;26751962;983720582;0.9391338128;2.7194675490
2023-05-01;BRAZIL;3177078134;35247998;1035096239;1.1094469986;3.4052870324
2023-06-01;BRAZIL;3486517484;32431737;1191650726;0.9302043414;2.7215807696
2023-07-01;BRAZIL;3163943809;31207453;953605804;0.9863466257;3.2725737269
2023-08-01;BRAZIL;3251043462;34409914;1468804665;1.0584267606;2.3427154624
2023-09-01;BRAZIL;3992034902;35710903;1755363484;0.8945538773;2.0343879388
2023-10-01;BRAZIL;3131839933;38426097;1385626648;1.2269495831;2.7731926963
2023-11-01;BRAZIL;3494297882;32124265;1414597784;0.9193339001;2.2709115880
2023-12-01;BRAZIL;3686360215;37775497;1674014114;1.0247369979;2.2565817507
2024-01-01;BRAZIL;4064986030;60853509;1918756599;1.4970164362;3.1715074769
2024-02-01;BRAZIL;3118669811;33346967;1223576733;1.0692689198;2.7253678581
2024-03-01;BRAZIL;3128643958;36467772;1071288385;1.1656095257;3.4041041153
2024-04-01;BRAZIL;3400639496;40087354;1310450199;1.1788181031;3.0590520747
2024-05-01;BRAZIL;3730177393;33363030;1470387503;0.8944086697;2.2689957533
2024-06-01;BRAZIL;3368579429;42902156;1254785072;1.2735978742;3.4190840294
2024-07-01;BRAZIL;3552822838;50859819;1546203808;1.4315326522;3.2893347395
2024-08-01;BRAZIL;3899685714;51087512;1648855023;1.3100417764;3.0983628814
2024-09-01;BRAZIL;3398987081;45694128;1191150826;1.3443454450;3.8361328392
2024-10-01;BRAZIL;3443829675;52463307;1271882834;1.5234001664;4.1248537678
2024-11-01;BRAZIL;3934087849;51594150;1640469409;1.3114641050;3.1450845543
2024-12-01;BRAZIL;3668109675;46285524;1378964853;1.2618358801;3.3565412417
2025-01-01;BRAZIL;4077779574;48253516;1521177825;1.1833282090;3.1721153968
2025-02-01;BRAZIL;3395376968;55590690;1073664403;1.6372464832;5.1776597831
2025-03-01;BRAZIL;3908215079;100924829;1561529571;2.5823765315;6.4632031871
2025-04-01;BRAZIL;3223891273;148550739;1626227842;4.6078085897;9.1346818179
2025-05-01;BRAZIL;4077299732;330287153;2928723751;8.1006346040;11.2775113353
2025-06-01;BRAZIL;3629040477;318408901;2578819863;8.7739142900;12.3470780402
2025-07-01;BRAZIL;4055430197;372959490;2620217267;9.1965456655;14.2339146718
2025-08-01;BRAZIL;2894274786;348222759;1686321851;12.0314339428;20.6498396966
2025-09-01;BRAZIL;2833935174;504983147;1517424856;17.8191495569;33.2789557917
2025-10-01;BRAZIL;2707101920;604419910;1905836712;22.3271944634;31.7141498112
2025-11-01;BRAZIL;2200925195;387416724;1162265990;17.6024485012;33.3328796793
2025-12-01;BRAZIL;2858122550;418561256;1412342941;14.6446224288;29.6359505789
2026-01-01;BRAZIL;2819768484;404099463;1109619817;14.3309447316;36.4178303964
2026-02-01;BRAZIL;2457395945;373711944;1316757226;15.2076406230;28.3812335806
2026-03-01;BRAZIL;2999390536;318358709;1978672816;10.6141132733;16.0895073923
2026-04-01;BRAZIL;2676785147;312167894;1821170906;11.6620452093;17.1410543059
2026-05-01;BRAZIL;3262183357;347094763;2284453233;10.6399526028;15.1937784493
